probeID	Array01	Array02	Array03	Array04	Array05	Array06	Array07	Array08	Array09	Array10	Array11	Array12	Array13	Array14	Array15	Array16	Array17	Array18	Array19	Array20
P7	0	0	1.10991e-05	0	0	0	2.60851e-05	2.49798e-05	0	0.0308521	2.181e-06	0	0	0	0	0	0	0	0	0
P8	0.376223	0	0.379143	0	0	0	0	0	0	0	0.379141	0	0.379143	0.37915	0	0	0	0	0	0
P9	0.030825	0.0308285	0.0308338	0.0308358	0.0308405	0.0308305	0.0118168	0.0308398	0.0308252	0.0308813	0.0308233	0.030879	0.0308532	0.0308702	0.0308672	0.0308417	0.0308651	0.0308389	0.0118103	0.0308727
P10	0.0308351	0.0308357	0.0308368	0.0308521	0.0308345	0.0308279	0.0118349	0.0308414	0.0308371	0.0308698	0.0308262	0.0308663	0.030851	0.0308648	0.0308779	0.0308404	0.030871	0.0308417	0.0117978	0.0308587
P11	0.376215	0.376226	0.376219	0.376232	0.376235	0.376216	0.37876	0.376215	0.376215	0.376215	0.376216	0.376216	0.376238	0.37623	0.376212	0.376216	0.376226	0.376239	0.378764	0.376232
P12	0	0	0	0	0.0308488	0.0308299	0	0	0	0	0	0	0.0308152	0	0	0	0	0.0308183	0	0
P13	0.348318	0.348295	0.348289	0.34833	0.348305	0.348324	0.367347	0.348298	0.348311	0.348298	0.348321	0.348283	0.348337	0.348325	0.348287	0.348339	0.348328	0.348331	0.367341	0.348292
P14	0.0308469	0.0308437	0.0308616	0.0308355	0.0308599	0.0308441	0.0118005	0.0308469	0.0308467	0.0308756	0.0308336	0.0308665	0.030818	0.0308413	0.0308649	0.0308327	0.0308331	0.030825	0.0118035	0.0308481
P5	0	0	0	0	0.758291	0	0	0	0	0	0	0	0	0	0.758277	0	0	0	0	0
P15	0.37916	0	0	0	0	0.379148	0	0	0	0	0.379139	0	0	0	0	0	0	0	0	0
P16	1.06415e-06	1.16187e-05	2.11247e-05	8.96955e-06	4.34948e-06	2.17198e-05	2.58824e-06	7.61843e-06	1.84913e-06	2.16379e-05	2.0955e-05	2.61538e-05	2.07772e-05	8.07907e-06	1.54017e-05	7.21058e-06	7.71816e-06	6.56167e-06	2.52359e-05	1.6204e-05
P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P18	0.379152	0.379141	0.379157	0.379148	0.379143	0.379137	0.379146	0.37916	0.379156	0.379154	0.379158	0.37915	0.379153	0.379151	0.379144	0.379162	0.37916	0.379158	0.379154	0.379148
P19	0.379154	0.379158	0.379158	0.379155	0.379139	0.379138	0.379138	0.379145	0.379138	0.379141	0.379138	0.379163	0.379151	0.379152	0.379158	0.379162	0.379149	0.379148	0.379147	0.379142
P20	0.37916	0.379157	0.379139	0.379157	0.379145	0.379144	0.379147	0.379156	0.37915	0.379086	0.379141	0.379146	0.379162	0.379154	0.379159	0.379161	0.379149	0.379152	0.379162	0.37914
P21	1.11212e-05	2.10635e-05	7.17796e-06	1.51841e-06	1.55794e-06	1.76205e-06	1.84952e-05	4.32657e-06	1.66015e-05	3.38541e-05	2.05179e-05	1.92142e-05	1.49788e-06	1.16717e-05	5.40395e-06	9.46045e-06	1.11643e-05	1.29849e-05	1.49573e-05	5.19974e-06
P22	0.348873	0.379153	0.34832	0.379139	0.37914	0.379137	0.379157	0.379161	0.37914	0.379156	0.348322	0.379158	0.348334	0.348326	0.379161	0.379147	0.379156	0.37914	0.379142	0.379163
P23	0.376802	0.379142	0.376779	0.379145	0.379141	0.379141	0.379157	0.379148	0.379145	0.379147	0.376789	0.379149	0.376765	0.376779	0.379145	0.379149	0.379152	0.379153	0.379158	0.379153
P24	0.379076	0.379094	0.379098	0.379098	0.379095	0.379093	0.379151	0.379086	0.379092	0.379072	0.379083	0.379088	0.37908	0.379089	0.379086	0.379085	0.379085	0.379091	0.379137	0.37908
P25	0.758255	0.758258	0.75826	0.758273	0.758271	0.758275	0.758289	0.758267	0.758257	0.758269	0.758265	0.758274	0.758271	0.758263	0.758257	0.758272	0.758274	0.75826	0.758283	0.758251
P26	0	0	0	0	0	0	0.379126	0	0	0.379074	0	0	0.379086	0	0	0.379082	0	0	0	0
P27	0.379152	0.379141	0.379159	0.379146	0.379147	0.379162	0.379158	0.379144	0.379153	0.37914	0.379139	0.37915	0.379153	0.379149	0.37915	0.379142	0.379152	0.379149	0.379161	0.379153
P28	0.37914	0.379138	0.379138	0.379139	0.379147	0.379142	0.379151	0.379155	0.379137	0.379147	0.379153	0.379153	0.379132	0.37915	0.379145	0.379154	0.379147	0.379142	0.379162	0.379161
P29	0.348873	0.348853	0.348873	0.348838	0.348847	0.348877	0.348385	0.348866	0.34887	0.348882	0.348877	0.348872	0.348833	0.34884	0.348878	0.348874	0.348842	0.348838	0.348368	0.348831
P30	0.376805	0.376825	0.376809	0.376812	0.376822	0.376821	0.376785	0.376802	0.376826	0.376807	0.376806	0.376802	0.376803	0.376806	0.376807	0.376802	0.376804	0.376821	0.376771	0.376813
P31	0.376802	0.376818	0.376808	0.376805	0.376819	0.376817	0.376775	0.376826	0.376807	0.376823	0.376807	0.376824	0.376818	0.376804	0.37681	0.376803	0.376818	0.376809	0.376793	0.376806
P32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P44	0	0	0	0	0	0	0	1.99407e-05	0	0	0	2.52735e-05	0	0	0	0	0.0308435	0	3.19214e-06	0
P45	0	0	0	0	0	0	0	0	0.37914	0	0	0	0	0	0	0.379159	0	0	0	0
P46	0.379162	0.379154	0.379154	0.379152	0.379141	0.379153	0.37914	0.379149	0.379138	0.379155	0.379154	0.379148	0.379156	0.379159	0.379142	0.379156	0.37916	0.379138	0.379148	0.379143
P47	1.30884e-05	7.39754e-05	2.63407e-05	5.76238e-05	7.64471e-06	2.631e-05	2.61157e-05	1.19034e-05	2.04648e-05	6.60369e-06	3.00174e-06	2.41331e-05	1.93528e-05	2.00769e-05	7.56897e-05	1.08479e-05	8.60527e-07	7.14458e-05	2.65762e-05	2.7338e-05
P48	0.379158	0.379084	0.379157	0.379099	0.379149	0.37915	0.379152	0.379143	0.379147	0.37916	0.37914	0.379146	0.379138	0.379157	0.379095	0.379149	0.379159	0.379088	0.37914	0.379145
P49	2.32595e-05	8.78478e-05	1.49261e-05	6.89737e-05	9.53743e-06	5.2242e-06	1.55668e-05	5.47997e-06	8.0552e-07	1.49033e-05	6.53989e-06	1.85986e-05	5.47242e-06	1.19543e-05	8.1625e-05	2.81448e-06	7.4492e-06	9.17451e-05	4.48151e-06	1.79246e-05
P43	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379148	0	0	0	0	0	0
P50	5.75652e-06	0	0	0	0	0	0	1.99036e-05	0	0	0	7.87218e-07	0	0.0308474	0	0	0	0	1.53636e-05	0
P51	2.44267e-05	2.61653e-05	1.33351e-05	8.58865e-06	9.97323e-06	1.03304e-05	6.29934e-06	2.28607e-06	2.87479e-06	9.71247e-06	4.83336e-06	3.38034e-06	2.47018e-05	3.39683e-05	2.60662e-05	9.6227e-07	3.25851e-06	1.49357e-05	1.52463e-05	2.16891e-05
P52	2.44962e-07	8.73858e-06	1.20038e-05	1.56465e-05	1.11535e-06	1.54708e-05	5.72022e-06	4.9098e-06	1.33498e-05	2.34011e-05	1.3043e-05	1.18106e-05	9.837e-06	3.78815e-05	2.26475e-06	1.10178e-05	1.0916e-05	2.23025e-05	4.64856e-06	2.26527e-05
P53	0	0	0.379138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54	0.379163	0.379152	0.379152	0.379152	0.37915	0.379145	0.379149	0.379139	0.37916	0.379142	0.379162	0.379152	0.379146	0.379139	0.37915	0.379142	0.379153	0.379141	0.379151	0.379154
P55	0	0.37915	0	0	0	0	0	0	0	0	0	0	0	0	0.37914	0	0	0	0	0.379158
P56	0.758275	0.758279	0.758293	0.758285	0.758299	0.75829	0.758286	0.758277	0.758282	0.758285	0.758276	0.758289	0.758275	0.758296	0.7583	0.758293	0.758293	0.758299	0.758291	0.75829
P57	0.348281	0.348305	0.348316	0.348322	0.348319	0.348311	0.348329	0.348309	0.348336	0.348292	0.348306	0.348317	0.348298	0.348308	0.348338	0.348303	0.348301	0.348333	0.348309	0.348339
P58	0.37678	0.376766	0.376766	0.376777	0.376785	0.376786	0.376766	0.376767	0.376768	0.37678	0.37678	0.376776	0.376788	0.376774	0.37677	0.376789	0.376763	0.376768	0.376789	0.376765
P59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P67	0	0	0	0	0	7.68204e-06	0	0	0	0	0	0	0	0	0	0	1.52664e-05	0	0	0
P68	0	0	0	0	0	0	0	0	0.379145	0	0	0	0	0	0	0	0	0	0	0
P69	0.758274	0.758295	0.758289	0.758284	0.758297	0.758285	0.758285	0.758297	0.7583	0.758288	0.758294	0.758275	0.758296	0.758299	0.758293	0.758283	0.758278	0.758287	0.758292	0.758295
P70	0.379157	0.379148	0.379158	0.379152	0.37916	0.379142	0.379162	0.379163	0.379142	0.379163	0.379162	0.348343	0.379142	0.379142	0.379156	0.379161	0.379154	0.379151	0.379161	0.379152
P71	0.379139	0.379154	0.379142	0.379147	0.379143	0.379142	0.37914	0.379142	0.379145	0.379158	0.379153	0.348322	0.379153	0.379155	0.379163	0.379152	0.379139	0.379152	0.379146	0.379143
P72	0.379158	0.379157	0.379144	0.379144	0.379153	0.37915	0.379145	0.379156	0.379148	0.379144	0.379151	0.34834	0.379157	0.379158	0.379147	0.379159	0.379144	0.379148	0.379161	0.379162
P66	0.758275	0.75828	0.758285	0.758283	0.758274	0.758294	0.758297	0.758287	0.758279	0.758297	0.758282	0.758293	0.758276	0.758295	0.758275	0.758281	0.758286	0.758294	0.758285	0.758282
P73	0.126459	0.126485	0.126492	0.126491	0.126462	0.126504	0.12652	0.126491	0.126464	0.126532	0.126486	0.126507	0.126469	0.12651	0.126454	0.126472	0.126495	0.126508	0.126474	0.126475
P74	0.378072	0.378088	0.378085	0.378066	0.378072	0.378083	0.378079	0.378071	0.378084	0.378056	0.378072	0.378065	0.37809	0.378069	0.378093	0.378066	0.378064	0.37807	0.378092	0.378085
P75	0.378075	0.378075	0.37807	0.378076	0.378085	0.378069	0.378085	0.378076	0.378078	0.37806	0.378065	0.378067	0.378079	0.378073	0.378082	0.378075	0.378088	0.378079	0.378067	0.378081
P76	1.28475e-05	1.89181e-06	1.58443e-05	7.80722e-06	5.3545e-06	2.6292e-05	1.03476e-06	1.84222e-05	4.14043e-06	4.18003e-06	1.25752e-05	1.50687e-05	1.16511e-05	1.75732e-05	2.52044e-05	2.43031e-05	2.56121e-05	7.07832e-06	9.63574e-06	9.28873e-06
P77	9.72769e-06	1.67509e-05	2.51877e-05	2.25636e-05	1.23628e-05	2.59578e-05	2.46461e-05	1.57595e-05	7.14042e-06	2.03491e-05	1.09015e-05	2.81086e-06	2.47539e-05	1.00824e-05	2.24254e-05	8.68525e-06	2.21226e-06	2.50503e-05	1.39662e-05	5.05732e-06
P78	1.02673e-05	1.77725e-05	2.49249e-05	2.48214e-06	6.98091e-06	1.7169e-05	2.04447e-05	1.23325e-05	2.20181e-05	1.85525e-05	1.2361e-05	1.52543e-05	2.23658e-05	1.84957e-05	1.13017e-05	1.26516e-05	1.014e-05	1.00241e-05	1.56119e-05	2.40122e-05
P79	1.71156e-05	5.71458e-06	2.16217e-05	1.27658e-05	4.17978e-06	1.74559e-05	2.60286e-06	1.23171e-05	7.81882e-06	6.52118e-06	8.47199e-06	7.95383e-06	1.72979e-05	1.01618e-05	1.03234e-05	1.72668e-05	4.94514e-06	1.63397e-05	1.6027e-05	2.11502e-05
P80	5.11405e-06	2.03773e-05	1.08166e-05	9.17352e-06	1.94387e-05	6.00793e-07	4.69502e-06	1.43155e-05	0.0308361	1.84915e-05	2.34188e-05	2.55882e-05	2.25378e-05	1.64271e-06	8.20942e-06	2.11595e-05	2.26403e-05	1.82283e-05	3.4639e-06	2.76729e-06
P81	0.758279	0.758281	0.758292	0.758284	0.758281	0.758285	0.758296	0.758277	0.758261	0.758279	0.758292	0.758299	0.758276	0.758289	0.758292	0.758295	0.758285	0.758279	0.758286	0.758285
P82	0.252711	0.252641	0.252665	0.252688	0.252637	0.252675	0.252679	0.252647	0.252644	0.252672	0.252653	0.2527	0.252635	0.252636	0.252654	0.25268	0.252692	0.252662	0.252653	0.252652
P83	0.373225	0.373239	0.373242	0.373237	0.373262	0.373243	0.373238	0.373242	0.373248	0.37324	0.373249	0.37323	0.373261	0.373244	0.373251	0.373242	0.373238	0.373257	0.373242	0.373248
P84	0.373241	0.373253	0.373238	0.373222	0.373257	0.37323	0.373229	0.373235	0.373242	0.373235	0.373247	0.373227	0.373246	0.37326	0.373247	0.373241	0.37325	0.373244	0.373232	0.37323
P85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P89	0.0308656	0.0308522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P90	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P91	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P92	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P93	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P94	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P95	0.000116067	0.000100732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P96	7.82381e-05	8.56262e-05	2.59951e-05	2.5442e-05	9.83805e-06	9.2459e-06	1.78525e-06	5.9217e-06	2.53959e-05	1.61621e-05	2.32726e-05	9.79024e-06	1.1497e-05	2.16035e-05	2.34981e-05	2.76681e-07	2.15649e-05	4.67301e-06	1.42304e-05	5.81579e-06
P97	6.64287e-05	7.54415e-05	1.96513e-05	2.41546e-05	1.89142e-06	1.96053e-05	1.14209e-05	1.51948e-05	1.58562e-05	1.05872e-06	5.33359e-06	9.98518e-06	2.19967e-05	1.90992e-05	1.64584e-05	1.55147e-05	2.21058e-05	8.46609e-06	1.04387e-05	1.20347e-05
P98	6.63629e-05	7.52274e-05	1.42406e-05	1.56874e-06	1.42396e-05	1.40082e-05	1.81729e-05	1.66446e-05	1.5692e-05	3.49516e-06	2.0269e-05	9.44006e-06	1.70566e-05	1.34405e-05	2.24538e-06	1.94038e-05	2.56546e-05	2.83921e-07	2.31433e-05	1.42966e-05
P99	6.85661e-05	6.88525e-05	8.18634e-07	4.05308e-06	1.1361e-05	1.1766e-06	2.45138e-05	2.58704e-05	7.72052e-06	1.24463e-05	2.05402e-05	2.42305e-05	1.81344e-05	2.2096e-05	1.22069e-05	1.75408e-05	5.23065e-06	2.21201e-05	1.943e-05	2.71325e-06
