probeID	Array01	Array02	Array03	Array04	Array05	Array06	Array07	Array08	Array09	Array10	Array11	Array12	Array13	Array14	Array15	Array16	Array17	Array18	Array19	Array20
P11	0.376215	0.376226	0.376215	0.376232	0.376235	0.376236	0.37623	0.376223	0.376209	0.376226	0.376233	0.37622	0.376211	0.376215	0.376237	0.376224	0.376213	0.376216	0.376215	0.376223
P12	0	0	0	0.0308594	0	0	0	0	0	0	0	0	0.0308614	0	0	0	0	0	0	0
P13	0.348318	0.348295	0.348293	0.348306	0.348328	0.348308	0.348324	0.348326	0.348295	0.348334	0.348308	0.348293	0.348309	0.348314	0.348331	0.348349	0.348329	0.348319	0.348306	0.348331
P14	0.0308469	0.0308437	0.0308666	0.0308795	0.0308314	0.0308414	0.0308429	0.030828	0.03087	0.0308422	0.0308608	0.0308798	0.0308635	0.0308356	0.0308411	0.0308382	0.0308347	0.0308547	0.030843	0.0308136
P5	0	0	0.758275	0	0	0	0	0	0.758279	0	0.758284	0.758291	0.758293	0	0.758292	0	0	0	0	0
P15	0.37916	0	0	0	0	0	0	0	0.252679	0	0	0	0	0	0	0.379145	0	0	0.379143	0.379154
P16	1.06415e-06	1.16187e-05	6.11463e-06	2.06977e-05	1.96423e-06	1.39773e-05	2.89741e-06	5.0683e-06	0.0118234	1.10526e-05	4.00237e-06	1.80875e-05	2.44605e-05	1.7112e-05	2.08058e-05	7.42088e-06	2.41294e-06	1.77231e-05	1.23001e-05	2.07531e-05
P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16501e-05	0	0	0
P18	0.379152	0.379141	0.379154	0.379147	0.379154	0.379149	0.379153	0.379155	0.379151	0.379156	0.379155	0.37915	0.379142	0.379154	0.379161	0.379156	0.379138	0.379153	0.37914	0.379158
P19	0.379154	0.379158	0.379143	0.379138	0.379141	0.379145	0.379147	0.379153	0.379153	0.379154	0.379161	0.379151	0.379141	0.379153	0.379147	0.379141	0.379156	0.379147	0.379161	0.379159
P20	0.37916	0.379157	0.379161	0.379138	0.379159	0.379146	0.379149	0.379147	0.379157	0.379145	0.379146	0.379137	0.379142	0.37916	0.37914	0.3791	0.379154	0.379151	0.37915	0.379136
P21	1.11212e-05	2.10635e-05	1.38561e-05	1.99602e-05	1.13428e-05	2.41945e-05	2.53045e-05	9.26456e-07	1.84502e-05	2.58092e-05	2.25056e-05	2.54604e-05	8.2374e-06	8.96301e-06	1.79448e-05	2.82071e-05	1.9971e-05	6.59228e-06	1.95483e-05	9.80629e-06
P22	0.348873	0.379153	0.379151	0.37916	0.379142	0.379138	0.379159	0.379139	0.379144	0.379158	0.34888	0.379146	0.379148	0.379152	0.348847	0.379142	0.348896	0.37916	0.348322	0.379147
P23	0.376802	0.379142	0.37915	0.37916	0.379147	0.37914	0.379138	0.37914	0.379159	0.379147	0.376819	0.379139	0.379148	0.379144	0.376802	0.379161	0.376808	0.37914	0.376788	0.379154
P24	0.379076	0.379094	0.379071	0.379089	0.379073	0.379075	0.379086	0.379092	0.379088	0.379083	0.379093	0.379084	0.379079	0.379072	0.379073	0.379094	0.379076	0.379098	0.379098	0.37908
P25	0.758255	0.758258	0.758267	0.758256	0.758262	0.75826	0.758259	0.758262	0.758256	0.75826	0.758269	0.758257	0.758256	0.75826	0.758251	0.758266	0.758273	0.758268	0.758274	0.758265
P26	0	0	0	0	0.379093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P27	0.379152	0.379141	0.379152	0.37916	0.379153	0.379155	0.379158	0.379162	0.37915	0.379139	0.379142	0.379156	0.37916	0.379152	0.37916	0.379142	0.379157	0.379159	0.379161	0.379153
P28	0.37914	0.379138	0.379156	0.379152	0.379157	0.379143	0.379146	0.379148	0.379146	0.379148	0.37914	0.379138	0.37915	0.379161	0.379155	0.379156	0.379147	0.379144	0.379162	0.379149
P29	0.348873	0.348853	0.348867	0.348842	0.348843	0.348838	0.348857	0.34886	0.348882	0.348855	0.348836	0.348873	0.348874	0.348887	0.348842	0.34887	0.348881	0.348869	0.348863	0.348851
P30	0.376805	0.376825	0.376824	0.376801	0.376813	0.376821	0.376817	0.37681	0.376818	0.376802	0.376822	0.376799	0.376818	0.376816	0.376815	0.376817	0.376825	0.376822	0.376808	0.376823
P31	0.376802	0.376818	0.376811	0.37682	0.376805	0.376802	0.376812	0.376815	0.376802	0.376817	0.376804	0.376799	0.376812	0.376803	0.376801	0.376807	0.376811	0.376822	0.376805	0.376827
P32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P44	0	0	0	0	0	1.57327e-05	0	0	0	1.9995e-06	2.46328e-05	0	0	0	0	0	0	0	0	0
P45	0	0	0	0	0	0	0	0	0.37916	0	0	0	0	0	0	0	0	0	0.379148	0
P46	0.379162	0.379154	0.379157	0.379146	0.379142	0.37916	0.379138	0.379152	0.379137	0.379138	0.379137	0.37914	0.379145	0.379142	0.379139	0.379157	0.379149	0.379159	0.379152	0.379159
P47	1.30884e-05	7.39754e-05	1.83623e-06	1.23546e-05	5.54913e-06	2.4836e-05	9.02276e-05	1.38186e-05	6.72216e-07	7.04534e-05	1.93488e-05	2.01511e-05	2.8265e-05	9.86531e-06	1.03735e-05	5.2282e-06	7.39306e-05	6.58064e-06	1.13885e-05	2.16687e-05
P48	0.379158	0.379084	0.37915	0.379156	0.379152	0.379141	0.379091	0.379138	0.379162	0.379078	0.379148	0.379149	0.37916	0.379141	0.379151	0.379137	0.379092	0.379145	0.379149	0.379156
P49	2.32595e-05	8.78478e-05	2.61527e-05	1.11121e-05	1.09825e-05	6.67534e-06	6.79758e-05	1.0211e-05	2.12892e-05	7.13311e-05	1.92222e-05	7.17452e-06	4.39072e-06	1.74016e-05	4.03127e-06	2.3671e-05	6.74254e-05	2.75652e-05	7.70231e-06	4.1847e-06
P43	0	0	0	0	0.37915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50	5.75652e-06	0	0	1.84769e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32875e-05	0	0
P51	2.44267e-05	2.61653e-05	4.67861e-06	2.34563e-05	2.26662e-06	2.44717e-05	1.43962e-05	6.90257e-06	1.74381e-05	9.34643e-07	2.29826e-05	1.93196e-05	7.68458e-06	2.5569e-05	1.87591e-06	1.90137e-05	5.53255e-06	1.48917e-05	1.48129e-05	1.80959e-05
P52	2.44962e-07	8.73858e-06	5.20573e-08	2.45093e-05	2.15216e-05	2.43443e-05	2.42133e-05	2.47708e-05	2.41524e-05	2.19454e-05	1.31707e-05	1.4596e-06	6.86297e-06	1.83934e-05	4.16637e-06	2.28865e-05	1.3598e-05	1.66985e-05	1.0364e-05	2.21464e-05
P53	0	0	0	0	0	0	0.379142	0.37914	0	0	0	0	0	0	0	0	0	0	0	0
P54	0.379163	0.379152	0.379137	0.379138	0.379158	0.379159	0.379149	0.379148	0.379154	0.379145	0.379157	0.37915	0.379144	0.379161	0.379157	0.379155	0.37915	0.379141	0.37916	0.379142
P55	0	0.37915	0	0.379157	0	0	0	0.379145	0	0	0	0	0	0	0	0	0	0	0	0
P56	0.758275	0.758279	0.758284	0.7583	0.758278	0.758298	0.758294	0.758297	0.758299	0.758287	0.7583	0.758286	0.758298	0.758284	0.758295	0.758297	0.758291	0.758277	0.758293	0.758282
P57	0.348281	0.348305	0.348307	0.348331	0.348318	0.348298	0.348325	0.348306	0.348337	0.348347	0.348344	0.348329	0.348314	0.348334	0.348347	0.348311	0.348304	0.348306	0.348315	0.34829
P58	0.37678	0.376766	0.376767	0.376779	0.37677	0.376763	0.376777	0.37679	0.376766	0.376768	0.376771	0.376775	0.376776	0.376782	0.376782	0.376764	0.376782	0.376761	0.376786	0.376787
P59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P67	0	0	0	0	0	0	0	2.00185e-05	0	0	0	1.03206e-05	0	0	0	2.22133e-05	0	0	0	4.78757e-06
P68	0	0	0.379154	0	0	0.379088	0	0	0	0.379151	0	0	0	0	0.379147	0	0	0	0	0
P69	0.758274	0.758295	0.758295	0.758279	0.758287	0.758282	0.758282	0.758275	0.758298	0.758283	0.758288	0.758288	0.758293	0.758265	0.758278	0.758299	0.75829	0.758278	0.758287	0.758291
P70	0.379157	0.379148	0.348321	0.379139	0.379148	0.379146	0.379151	0.379149	0.379144	0.379149	0.379154	0.37914	0.379146	0.353841	0.379146	0.379156	0.379147	0.3483	0.379142	0.379138
P71	0.379139	0.379154	0.348338	0.379153	0.379138	0.379159	0.379154	0.379148	0.379149	0.379159	0.379162	0.379138	0.37916	0.353838	0.379148	0.37914	0.379141	0.348298	0.379159	0.379152
P72	0.379158	0.379157	0.34833	0.379157	0.37916	0.379146	0.379145	0.379155	0.379146	0.379143	0.379144	0.379156	0.37916	0.353836	0.379153	0.379156	0.379149	0.348304	0.379163	0.379162
P66	0.758275	0.75828	0.758285	0.75829	0.758298	0.758294	0.758277	0.758297	0.758284	0.758286	0.758274	0.758274	0.758298	0.758277	0.758296	0.758288	0.758292	0.758298	0.758279	0.758283
P73	0.126459	0.126485	0.126484	0.126489	0.126524	0.126518	0.126478	0.12652	0.126494	0.126496	0.126451	0.126458	0.126518	0.126467	0.126512	0.126509	0.126512	0.126514	0.126478	0.126492
P74	0.378072	0.378088	0.378069	0.378069	0.378064	0.378059	0.378085	0.378082	0.378079	0.378085	0.378073	0.378091	0.378074	0.378075	0.378063	0.378075	0.378063	0.378072	0.378075	0.378087
P75	0.378075	0.378075	0.378086	0.378087	0.378063	0.378079	0.378088	0.378081	0.378068	0.378082	0.378078	0.378069	0.378072	0.378092	0.378081	0.378074	0.37806	0.378072	0.378072	0.378085
P76	1.28475e-05	1.89181e-06	2.14066e-05	1.59424e-06	5.84373e-06	2.4337e-05	2.2903e-05	2.39257e-05	1.29527e-05	1.14166e-07	9.754e-06	3.6358e-06	1.49905e-05	1.67595e-05	2.82963e-06	1.83661e-05	2.3358e-05	2.34251e-06	8.39183e-06	1.88234e-05
P77	9.72769e-06	1.67509e-05	5.44288e-06	1.0438e-05	2.25137e-05	2.14288e-05	2.28976e-05	1.01396e-05	1.30278e-05	1.31505e-05	1.62902e-05	2.3926e-05	2.3326e-05	1.7349e-05	1.82886e-05	2.64195e-05	9.88625e-06	2.05571e-05	1.11117e-05	2.19994e-05
P78	1.02673e-05	1.77725e-05	1.50345e-06	7.06123e-06	1.01622e-05	2.59983e-06	8.2541e-06	1.88366e-05	2.4098e-05	6.09051e-06	1.07687e-05	2.61148e-05	2.42819e-05	1.05097e-05	1.22038e-05	1.91544e-05	1.08359e-05	1.32328e-06	1.69531e-05	1.18871e-05
P79	1.71156e-05	5.71458e-06	3.85965e-06	1.1046e-05	1.83317e-05	1.53205e-05	8.2167e-06	9.68464e-06	8.38377e-06	4.49713e-06	7.81727e-06	1.77458e-05	8.88493e-06	2.58201e-05	8.31198e-06	4.78426e-06	1.56178e-05	1.326e-05	2.05956e-05	2.28031e-05
P80	5.11405e-06	2.03773e-05	0.0308557	2.41092e-05	1.83126e-05	0.0308325	7.05286e-06	9.36334e-06	3.27608e-06	0.0308567	2.37634e-06	2.28947e-05	1.70836e-05	1.95831e-06	0.0308315	9.06567e-06	2.31651e-05	1.05175e-05	2.28601e-05	2.25735e-05
P81	0.758279	0.758281	0.75826	0.758297	0.75829	0.758252	0.758276	0.75829	0.758276	0.758274	0.75828	0.758297	0.758299	0.758284	0.758264	0.758286	0.758296	0.758287	0.758278	0.75828
P82	0.252711	0.252641	0.252658	0.252693	0.252668	0.252673	0.252683	0.252698	0.252646	0.252676	0.252678	0.252663	0.252649	0.252675	0.252694	0.252644	0.252651	0.252703	0.252661	0.252659
P83	0.373225	0.373239	0.373244	0.373225	0.37325	0.373257	0.373226	0.373246	0.373241	0.37325	0.373241	0.373242	0.373242	0.373252	0.373238	0.373253	0.373241	0.373244	0.373251	0.37325
P84	0.373241	0.373253	0.373229	0.373229	0.373248	0.373247	0.373226	0.373236	0.373235	0.373248	0.373229	0.373248	0.373244	0.373244	0.373249	0.373254	0.373244	0.373238	0.373248	0.373254
P85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P89	0.0308656	0.0308522	0.0308824	0.0308174	0.0308463	0.0308295	0.0308336	0.0308451	0.0308414	0.0308716	0.030814	0.0308475	0.0308486	0.0308252	0.0308221	0.0308347	0.0308749	0.030877	0	0
P90	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P91	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P92	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P93	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P94	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P95	0.000116067	0.000100732	0.000107206	0.000104301	0.000119428	0.000108335	9.47176e-05	0.000111759	0.000117708	0.000104373	9.14827e-05	0.000105062	0.000120186	0.000112874	8.72495e-05	0.000104031	0.000117154	0.000104405	0	0
P96	7.82381e-05	8.56262e-05	9.6082e-05	7.37079e-05	9.18408e-05	8.82662e-05	7.44422e-05	7.23695e-05	9.50116e-05	8.51252e-05	6.66633e-05	9.30617e-05	8.96385e-05	6.40403e-05	7.06584e-05	8.05579e-05	8.75593e-05	8.38126e-05	2.33543e-05	1.88193e-05
P97	6.64287e-05	7.54415e-05	9.60425e-05	8.48999e-05	8.58694e-05	8.70272e-05	7.1872e-05	7.07009e-05	7.6391e-05	8.66673e-05	7.97862e-05	8.43916e-05	8.15311e-05	6.34804e-05	8.84428e-05	7.45254e-05	8.21594e-05	7.84969e-05	1.66149e-05	1.1182e-05
P98	6.63629e-05	7.52274e-05	8.40048e-05	7.44364e-05	6.94846e-05	8.39261e-05	6.53132e-05	8.03943e-05	8.88539e-05	9.36132e-05	6.92515e-05	7.68158e-05	8.6132e-05	8.7098e-05	7.6033e-05	9.14913e-05	8.2753e-05	8.26783e-05	2.06247e-05	2.56485e-05
P99	6.85661e-05	6.88525e-05	8.78112e-05	6.75803e-05	7.50053e-05	6.58351e-05	7.17771e-05	8.06048e-05	8.55291e-05	7.8919e-05	6.4765e-05	8.48457e-05	9.48787e-05	8.01444e-05	6.44583e-05	8.70093e-05	7.37553e-05	7.87775e-05	2.78557e-06	2.53895e-05
